Pitcher,GameID,GameDate,IP,K,ER,H,BB,TB,ERA,WHIP,oAVG,oOBP,oSLUG,kPerc,bbPerc,kbb,fbV,chV,slV,crvV,snkV,cutV,splV
Pitcher 1,gid11,2017-06-07,6,4,3,5,2,14,4.50,1.17,.217,.233,.609,16.0,8.0,2.00,93.5,86.9,84,84,93.8,,,
Pitcher 1,gid931,2017-06-15,5.3333,2,2,4,6,4,3.38,1.88,.222,.387,.222,8.0,24.0,0.33,,,85.4,,93.6,,86,
Pitcher 1,gid1821,2017-06-21,5,4,4,6,2,6,7.20,1.60,.300,.286,.300,18.2,9.1,2.00,94.7,,85.7,,93.5,,,
Pitcher 1,gid2691,2017-06-28,7,4,4,7,1,9,5.14,1.14,.259,.289,.333,14.3,3.6,4.00,93.2,85.9,84.3,,,,,
Pitcher 2,gid12,2017-06-15,6,6,4,4,2,7,6.00,1.00,.182,.214,.318,25.0,8.3,3.00,92.5,,,73.3,,88.5,,
Pitcher 2,gid982,2017-06-21,8,6,1,8,0,12,1.13,1.00,.296,.243,.444,21.4,0.0,6.00,92.7,85.7,86.7,74,,89.4,,86.9
Pitcher 2,gid1912,2017-06-27,4,2,3,7,0,11,6.75,1.75,.412,.308,.647,11.1,0.0,2.00,92.7,,,74.6,,89.5,,
Pitcher 3,gid13,2017-06-05,4.3333,6,5,5,2,12,10.38,1.62,.278,.280,.667,30.0,10.0,3.00,94.5,,83.9,75.4,,91.9,,82.6
Pitcher 3,gid913,2017-06-10,7,5,0,3,0,3,0.00,0.43,.136,.120,.136,22.7,0.0,5.00,93.2,,86.5,81,,88.9,,72.6
Pitcher 3,gid1783,2017-06-16,5.3333,7,1,4,1,5,1.69,0.94,.190,.192,.238,31.8,4.5,7.00,94.2,88.4,86.9,80.5,,88.9,,75
Pitcher 3,gid2753,2017-06-22,7,9,1,2,0,3,1.29,0.29,.083,.077,.125,37.5,0.0,9.00,94.4,,85.9,81.3,,90.4,,88.3
Pitcher 4,gid14,2017-06-09,8,9,0,1,1,2,0.00,0.25,.040,.074,.080,34.6,3.8,9.00,95.5,86.5,86.9,80.8,,90.9,85.7,
Pitcher 4,gid1134,2017-06-14,7,10,1,3,1,6,1.29,0.57,.136,.154,.273,43.5,4.3,10.00,94,86.3,86.1,79.7,,,,
Pitcher 4,gid2124,2017-06-19,7,6,0,1,2,1,0.00,0.43,.048,.125,.048,26.1,8.7,3.00,95.4,,86.8,81,,,86.8,